hostname,pl_name,st_teff,st_mass,st_rad,st_lum,st_met,st_age,st_spectype,ra,dec,sy_dist,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_orbper,pl_bmasse,pl_rade,pl_dens,pl_eqt
"HD 62509","HD 62509 b",4892.63,2.000000,8.900000,1.61200,0.1027,0.9800,"K0IIIvar",116.3288240,28.0261270,10.34000000,1.6400000000,0.020000,,589.64000000000,731.00000000,13.30000000,1.710000,
"K2-27","K2-27 b",5246.00,0.880000,0.876000,-0.26971,0.1200,10.3000,,171.5151874,1.2306237,249.64500000,0.0670200000,0.251000,88.87126,6.77134700000,30.20000000,4.74000000,1.710000,836.00
"HD 20781","HD 20781 c",5256.00,0.700000,0.833609,-0.30980,-0.1100,,"K0 V",50.0139757,-28.7841175,35.97150000,0.1004000000,0.090000,,13.89050000000,5.33000000,2.17000000,2.870000,
"HD 285968","HD 285968 b",3703.49,0.500000,0.478214,-1.65800,-0.1000,3.6200,"M2 V",70.7353853,18.9533580,9.47045000,0.0660000000,0.000000,,8.78360000000,8.40000000,2.83000000,2.040000,450.00
"HD 69830","HD 69830 d",5385.00,0.860000,0.886947,-0.22000,-0.0500,7.0000,"K0V",124.6010091,-12.6364246,12.55910000,0.6300000000,0.070000,,197.00000000000,18.10000000,4.45000000,1.130000,
"HD 63765","HD 63765 b",5449.00,0.650000,0.830000,-0.25647,-0.1600,4.7700,"G9 V",116.9582617,-54.2653450,32.53760000,0.9400000000,0.240000,,358.00000000000,168.44990000,14.20000000,0.323000,
"rho CrB","rho CrB e",5817.00,0.950000,1.340000,0.26007,-0.2000,10.2000,"G0 V",240.2600639,33.3001861,17.46710000,0.1061000000,0.126000,,12.94900000000,3.79000000,1.77000000,3.760000,
"HD 28678","HD 28678 b",4972.00,1.530000,6.480000,1.35984,-0.1100,1.8000,"G8 IV",67.8560643,4.5752495,189.90800000,1.1800000000,0.149000,,380.20000000000,490.09386000,13.50000000,1.090000,
"HD 70642","HD 70642 b",5732.00,1.078000,0.984000,0.01204,0.2200,0.9190,"G6 V",125.3661079,-39.7044432,29.27600000,3.3180000000,0.175000,29.90000,2124.54000000000,1239.53078730,13.00000000,3.100000,
"HD 30562","HD 30562 b",5882.00,1.120000,1.610000,0.45000,0.2000,3.6000,"G2 IV",72.1529519,-5.6751152,26.15970000,2.3400000000,0.760000,65.00000,1157.00000000000,467.20775829,13.60000000,1.020000,
"HD 73267","HD 73267 b",5387.00,0.930000,0.909000,-0.10600,0.0300,8.1400,"K0 V",129.0735123,-34.4594469,50.40930000,2.2290000000,0.261000,130.84300,1257.99159000000,1321.53051631,13.00000000,3.310000,
"HD 210702","HD 210702 b",4912.00,1.330000,4.540000,1.03543,-0.0200,2.1000,"K1 IV",332.9638643,16.0404806,54.19630000,1.0790000000,0.071000,,355.50000000000,481.51003660,13.60000000,1.050000,
"HD 212771","HD 212771 b",5003.00,1.560000,5.270000,1.18752,-0.2100,6.0000,"G8 IV",336.7624130,-17.2641046,111.15500000,1.1900000000,0.076000,,380.70000000000,759.61370000,13.30000000,1.770000,
"HD 31527","HD 31527 c",5898.00,0.960000,1.073694,0.07918,-0.1700,,"G2 V",73.9096193,-23.2413163,38.44730000,0.2663000000,0.040000,,51.20530000000,14.16000000,3.85000000,1.360000,
"HD 31527","HD 31527 d",5898.00,0.960000,1.073694,0.07918,-0.1700,,"G2 V",73.9096193,-23.2413163,38.44730000,0.8098000000,0.240000,,271.67370000000,11.82000000,3.46000000,1.570000,
"HD 31527","HD 31527 b",5898.00,0.960000,1.073694,0.07918,-0.1700,,"G2 V",73.9096193,-23.2413163,38.44730000,0.1254000000,0.100000,,16.55350000000,10.47000000,3.22000000,1.720000,
"HIP 111909","HIP 111909 b",4891.00,1.280000,4.530000,1.02000,-0.0100,4.3000,"K1 III",340.0304354,-49.5985391,88.07700000,1.3200000000,,,487.08000000000,384.57237247,13.70000000,0.822000,
"HD 32518","HD 32518 b",4580.00,1.130000,10.220000,1.66577,-0.1500,5.8300,"K1 III",77.4037569,69.6391355,122.11500000,0.5940000000,0.028000,,157.35000000000,905.49313154,13.20000000,2.160000,
"HD 216435","HD 216435 b",5999.00,1.300000,1.800029,0.55689,0.2440,3.0000,"G0 V",343.4094703,-48.5986332,32.98340000,2.5600000000,0.070000,,1311.00000000000,400.40000000,13.70000000,0.856000,
"HD 216437","HD 216437 b",5909.00,1.220000,1.394000,0.35000,0.2000,4.9000,"G1 V",343.6639631,-70.0733957,26.69020000,2.5700000000,0.310000,148.00000,1359.00000000000,1334.87930940,13.00000000,3.340000,
"HD 82886","HD 82886 b",4953.00,2.530000,5.260000,1.14301,-0.3100,7.0000,"G0",143.9383526,34.7805902,127.06100000,1.5800000000,0.070000,,705.00000000000,740.54390000,13.30000000,1.730000,
"HD 8574","HD 8574 b",6064.00,1.340000,1.380000,0.37649,0.0100,5.6000,"F8",21.3033807,28.5660169,44.82640000,0.7600000000,0.300000,,227.00000000000,645.19490000,13.40000000,1.470000,
"HD 86081","HD 86081 b",5939.00,1.210000,1.460000,0.38000,0.2200,3.6100,"F8",149.0243714,-3.8083543,103.93600000,0.0346000000,0.011900,,2.13784310000,470.38840000,13.60000000,1.030000,
"HD 37124","HD 37124 d",5698.64,0.850000,0.949168,-0.11224,-0.4400,4.0000,"G4 V",84.2599947,20.7289784,31.66340000,2.8070000000,0.160000,,1862.00000000000,221.20968000,14.00000000,0.443000,
"HD 9446","HD 9446 c",5793.00,1.000000,1.000000,0.04139,0.0900,,"G5 V",23.3350424,29.2649187,50.35030000,0.6540000000,0.060000,,192.90000000000,578.42600000,13.40000000,1.320000,
"HD 96063","HD 96063 b",5020.00,1.370000,4.750000,1.10380,-0.3000,9.0000,"G6 V",166.1853484,-2.5132966,140.06500000,1.1100000000,0.170000,,362.50000000000,403.64410000,13.70000000,0.863000,
"HD 8673","HD 8673 b",6389.05,1.280000,1.502250,0.52992,0.1474,,"F5",21.5378455,34.5793389,37.86190000,2.9700000000,0.730000,95.45000,1644.69097000000,4210.59073594,12.30000000,12.400000,
"Kepler-263","Kepler-263 b",5265.00,0.793000,0.785000,-0.45614,-0.0314,2.2400,,292.4698022,37.5677941,754.74700000,0.1200000000,0.000000,89.69000,16.56808700000,7.61000000,2.67000000,2.200000,548.00
"HD 219828","HD 219828 b",5891.00,1.040000,1.560000,0.42000,0.1900,5.6900,"G0 IV",349.6947029,18.6457524,73.11400000,0.0490000000,0.091000,,3.83483000000,19.06970442,4.59000000,1.080000,
